15,539,1,39,[5]
17,748,1,48,[7]
1b,b6,1,6,[b]
22,121,2,11,[2]
23,1276,3,176,[2]
25,5454,2,454,[5]
2a,a76,2,76,[a]
2a,1a39,2,139,[a]
2b,b8,2,8,[b]
2b,1b4,2,14,[b]
33,132,3,12,[3]
33,231,3,21,[3]
34,1368,4,168,[3]
34,2394,4,294,[3]
35,13b4,5,1b4,[3]
3b,b9,3,9,[b]
3b,1b6,3,16,[b]
3b,2b3,3,23,[b]
44,143,4,13,[4]
44,242,4,22,[4]
44,341,4,31,[4]
45,1469,5,169,[4]
45,2486,5,286,[4]
45,34a3,5,3a3,[4]
46,14a6,6,1a6,[4]
4a,1a68,4,168,[a]
4a,a8a8,4,8a8,[a]
55,154,5,14,[5]
55,253,5,23,[5]
55,352,5,32,[5]
55,451,5,41,[5]
59,1969,5,169,[9]
59,9853,5,853,[9]
5b,ba,5,a,[b]
5b,1b8,5,18,[b]
5b,2b6,5,26,[b]
5b,3b4,5,34,[b]
5b,4b2,5,42,[b]
65,1622,5,122,[6]
66,165,6,15,[6]
66,264,6,24,[6]
66,363,6,33,[6]
66,462,6,42,[6]
66,561,6,51,[6]
67,167a,7,17a,[6]
67,2688,7,288,[6]
67,3696,7,396,[6]
67,46a4,7,4a4,[6]
67,56b2,7,5b2,[6]
68,16a8,8,1a8,[6]
73,2323,7,223,[3]
77,176,7,16,[7]
77,275,7,25,[7]
77,374,7,34,[7]
77,473,7,43,[7]
77,572,7,52,[7]
77,671,7,61,[7]
7b,1b9,7,19,[b]
7b,3b6,7,36,[b]
7b,5b3,7,53,[b]
7b,ba6,7,a6,[b]
7b,2b76,7,276,[b]
7b,4b46,7,446,[b]
7b,6b16,7,616,[b]
82,3214,8,314,[2]
86,1823,6,123,[8]
87,2823,7,223,[8]
88,187,8,17,[8]
88,286,8,26,[8]
88,385,8,35,[8]
88,484,8,44,[8]
88,583,8,53,[8]
88,682,8,62,[8]
88,781,8,71,[8]
89,2899,9,299,[8]
89,48a6,9,4a6,[8]
89,68b3,9,6b3,[8]
8a,18b9,a,1b9,[8]
8b,2b8,8,28,[b]
8b,5b4,8,54,[b]
8b,ba8,8,a8,[b]
8b,1b94,8,194,[b]
8b,3b68,8,368,[b]
8b,4b54,8,454,[b]
8b,6b28,8,628,[b]
